station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,Date,hora,dia
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,18:11:09,Thursday
420,6,3,3,0,1746137427.0,False,IN_SERVICE,1,1,1,,6,0,2025-05-01,19:11:09,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,19:11:09,Thursday
420,6,3,3,0,1746140977.0,False,IN_SERVICE,1,1,1,,6,0,2025-05-01,20:11:23,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,20:11:23,Thursday
420,6,3,3,0,1746147182.0,False,IN_SERVICE,1,1,1,,6,0,2025-05-01,21:57:20,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,21:57:20,Thursday
420,6,3,3,0,1746153215.0,False,IN_SERVICE,1,1,1,,6,0,2025-05-01,23:36:33,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,23:36:33,Thursday
420,5,3,4,0,1746156940.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,00:35:48,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,00:35:48,Friday
420,5,3,4,0,1746159144.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,01:14:23,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,01:14:23,Friday
420,5,3,4,0,1746162634.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,02:12:32,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,02:12:32,Friday
420,5,3,4,0,1746166504.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,03:16:46,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,03:16:46,Friday
420,5,3,4,0,1746169825.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,04:11:58,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,04:11:58,Friday
420,5,3,4,0,1746173692.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,05:15:50,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,05:15:50,Friday
420,4,3,5,0,1746177001.0,False,IN_SERVICE,1,1,1,,4,0,2025-05-02,06:12:30,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,06:12:30,Friday
420,4,3,5,0,1746180673.0,False,IN_SERVICE,1,1,1,,4,0,2025-05-02,07:12:48,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,07:12:48,Friday
420,4,3,5,0,1746184174.0,False,IN_SERVICE,1,1,1,,4,0,2025-05-02,08:10:09,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,08:10:09,Friday
420,4,3,5,0,1746188400.0,False,IN_SERVICE,1,1,1,,4,0,2025-05-02,09:22:06,Friday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-02,09:22:06,Friday
420,5,1,6,0,1746192086.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,10:22:21,Friday
464,12,0,8,0,1746191999.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,10:22:21,Friday
420,5,1,6,0,1746195024.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,11:11:28,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,11:11:28,Friday
420,5,1,6,0,1746198698.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,12:12:02,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,12:12:02,Friday
420,6,1,5,0,1746202372.0,False,IN_SERVICE,1,1,1,,6,0,2025-05-02,13:14:09,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,13:14:09,Friday
420,5,1,6,0,1746205683.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-02,14:10:28,Friday
464,12,0,8,0,1746193819.0,False,IN_SERVICE,1,1,1,,12,0,2025-05-02,14:10:28,Friday
